<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
27.09.2018;114280;114710;114200;114580
27.09.2018;114580;114730;114520;114570
27.09.2018;114570;114750;114560;114730
27.09.2018;114720;114790;114620;114670
27.09.2018;114690;114790;114650;114740
27.09.2018;114750;114830;114730;114740
27.09.2018;114750;114790;114690;114710
27.09.2018;114710;114750;114670;114750
27.09.2018;114750;114760;114680;114680
27.09.2018;114700;114710;114660;114700
27.09.2018;114700;114710;114630;114650
27.09.2018;114650;114700;114620;114660
27.09.2018;114670;114770;114650;114760
27.09.2018;114760;114890;114730;114850
27.09.2018;114850;114920;114830;114910
27.09.2018;114910;114990;114890;114970
27.09.2018;114960;114980;114920;114950
27.09.2018;114950;114970;114750;114800
27.09.2018;114790;114800;114660;114690
27.09.2018;114670;114740;114620;114630
27.09.2018;114630;114720;114620;114680
27.09.2018;114670;114800;114670;114780
27.09.2018;114780;114910;114770;114890
27.09.2018;114880;114930;114770;114790
27.09.2018;114790;114820;114760;114780
27.09.2018;114780;114870;114730;114740
27.09.2018;114750;114980;114720;114960
27.09.2018;114970;115000;114880;114950
27.09.2018;114950;115050;114950;115010
27.09.2018;115010;115110;115000;115090
27.09.2018;115100;115140;115070;115070
27.09.2018;115070;115120;115050;115060
27.09.2018;115060;115070;115040;115050
27.09.2018;115060;115080;115040;115060
27.09.2018;115050;115140;115050;115140
27.09.2018;115140;115170;115090;115090
27.09.2018;115100;115140;115050;115050
27.09.2018;115050;115150;115050;115130
27.09.2018;115140;115210;115120;115150
27.09.2018;115140;115170;115110;115120
27.09.2018;115120;115140;115090;115090
27.09.2018;115100;115100;115040;115060
27.09.2018;115050;115090;115020;115070
27.09.2018;115070;115070;115020;115070
27.09.2018;115060;115060;115030;115030
27.09.2018;115030;115100;115030;115070
27.09.2018;115080;115110;115070;115080
27.09.2018;115080;115120;115030;115050
27.09.2018;115060;115200;115040;115180
27.09.2018;115160;115280;115160;115240
27.09.2018;115250;115250;115180;115210
27.09.2018;115210;115260;115200;115250
27.09.2018;115240;115320;115230;115250
27.09.2018;115250;115280;115250;115250
27.09.2018;115250;115250;115220;115230
27.09.2018;115240;115250;115200;115250
27.09.2018;115240;115280;115220;115250
27.09.2018;115260;115280;115220;115220
27.09.2018;115220;115260;115210;115250
27.09.2018;115260;115300;115250;115290
27.09.2018;115290;115350;115260;115330
27.09.2018;115340;115390;115320;115330
27.09.2018;115330;115360;115310;115350
27.09.2018;115350;115370;115300;115330
27.09.2018;115340;115360;115310;115330
27.09.2018;115330;115370;115300;115310
27.09.2018;115300;115350;115300;115320
27.09.2018;115330;115350;115300;115330
27.09.2018;115340;115380;115300;115380
27.09.2018;115380;115640;115360;115570
27.09.2018;115570;115670;115570;115650
27.09.2018;115660;115680;115590;115620
27.09.2018;115620;115650;115600;115600
27.09.2018;115590;115640;115570;115610
27.09.2018;115590;115630;115560;115570
27.09.2018;115570;115600;115560;115560
27.09.2018;115560;115600;115550;115550
27.09.2018;115550;115550;115510;115550
27.09.2018;115550;115620;115550;115600
27.09.2018;115610;115610;115560;115570
27.09.2018;115560;115600;115560;115600
27.09.2018;115610;115640;115570;115580
27.09.2018;115580;115580;115460;115480
27.09.2018;115480;115500;115470;115490
27.09.2018;115500;115530;115480;115510
27.09.2018;115510;115530;115450;115460
27.09.2018;115450;115480;115430;115440
27.09.2018;115440;115520;115430;115510
27.09.2018;115520;115520;115460;115490
27.09.2018;115500;115580;115490;115540
27.09.2018;115540;115590;115530;115560
27.09.2018;115550;115590;115510;115590
27.09.2018;115590;115740;115590;115690
27.09.2018;115700;115710;115660;115700
27.09.2018;115690;115700;115560;115600
27.09.2018;115600;115630;115480;115490
27.09.2018;115500;115520;115440;115470
27.09.2018;115460;115490;115410;115440
27.09.2018;115450;115500;115420;115500
27.09.2018;115490;115510;115470;115470
27.09.2018;115470;115480;115410;115450
27.09.2018;115450;115470;115420;115440
27.09.2018;115440;115460;115380;115390
27.09.2018;115390;115390;115330;115350
27.09.2018;115340;115370;115280;115280
27.09.2018;115280;115350;115270;115290
27.09.2018;115280;115290;115230;115250
27.09.2018;115250;115260;115220;115250
27.09.2018;115240;115270;115210;115260
27.09.2018;115250;115270;115200;115250
27.09.2018;115230;115310;115210;115310
27.09.2018;115310;115320;115250;115260
27.09.2018;115260;115310;115240;115260
27.09.2018;115250;115270;115230;115240
27.09.2018;115230;115250;115140;115200
27.09.2018;115190;115300;115170;115290
27.09.2018;115280;115660;115280;115500
27.09.2018;115490;115640;115470;115600
27.09.2018;115600;115780;115600;115730
27.09.2018;115720;115790;115680;115790
27.09.2018;115790;115790;115660;115740
27.09.2018;115730;115920;115700;115890
27.09.2018;115890;115970;115870;115870
27.09.2018;115880;116060;115850;116050
27.09.2018;116050;116100;115960;115990
27.09.2018;115990;116050;115940;115990
27.09.2018;115980;115990;115930;115940
27.09.2018;115950;115950;115880;115930
27.09.2018;115950;115950;115870;115880
27.09.2018;115870;115900;115800;115800
27.09.2018;115800;115890;115790;115840
27.09.2018;115850;115880;115820;115820
27.09.2018;115830;115860;115770;115770
27.09.2018;115790;115850;115740;115830
27.09.2018;115850;115900;115830;115900
27.09.2018;115900;115940;115880;115920
27.09.2018;115910;115940;115880;115930
27.09.2018;115920;115950;115870;115870
27.09.2018;115870;115900;115820;115850
27.09.2018;115870;115900;115850;115860
27.09.2018;115870;115900;115860;115880
27.09.2018;115900;115910;115780;115840
27.09.2018;115850;115930;115830;115910
27.09.2018;115900;115950;115900;115930
27.09.2018;115930;115970;115920;115970
27.09.2018;115960;116020;115900;115960
27.09.2018;115960;116040;115920;115950
27.09.2018;115950;115950;115870;115900
27.09.2018;115890;116010;115880;116010
27.09.2018;115990;116030;115980;116010
27.09.2018;116030;116030;115970;115970
27.09.2018;115970;116030;115970;116030
27.09.2018;116030;116250;116030;116140
27.09.2018;116150;116160;116080;116110
27.09.2018;116110;116180;116110;116160
27.09.2018;116160;116210;116090;116090
27.09.2018;116090;116150;116020;116020
27.09.2018;116020;116080;116010;116030
27.09.2018;116040;116080;116030;116060
27.09.2018;116060;116140;116010;116010
27.09.2018;116010;116060;116010;116010
27.09.2018;116010;116030;116000;116000
27.09.2018;116000;116060;115980;116050
27.09.2018;116040;116040;115990;116020
27.09.2018;116020;116050;115980;115980
27.09.2018;115970;116000;115920;115980
27.09.2018;115990;116040;115960;116030
27.09.2018;116020;116030;115920;116010
27.09.2018;116010;116090;116000;116060
27.09.2018;116060;116080;116000;116000
27.09.2018;116010;116060;115990;116000
27.09.2018;115990;116040;115990;116010
27.09.2018;116010;116020;115890;115910
27.09.2018;115910;115970;115890;115970
27.09.2018;115970;115970;115910;115940
27.09.2018;115930;116000;115930;115980
27.09.2018;115990;116050;115980;116030
27.09.2018;116030;116050;116000;116010
27.09.2018;116020;116070;115990;116010
27.09.2018;116010;116070;115980;116050
27.09.2018;116060;116060;115990;116050
27.09.2018;116030;116080;116030;116050
27.09.2018;116040;116050;116030;116030
27.09.2018;116030;116120;116030;116100
27.09.2018;116090;116100;116040;116050
27.09.2018;116060;116120;116050;116090
27.09.2018;116100;116120;116090;116110
27.09.2018;116120;116140;116090;116130
27.09.2018;116120;116120;116080;116080
27.09.2018;116080;116150;116080;116130
27.09.2018;116130;116150;116090;116110
27.09.2018;116120;116120;116060;116090
27.09.2018;116100;116120;116070;116100
27.09.2018;116100;116140;116080;116100
27.09.2018;116110;116110;116080;116080
27.09.2018;116080;116090;116040;116080
27.09.2018;116070;116070;116040;116040
27.09.2018;116030;116080;116030;116040
27.09.2018;116060;116070;116030;116030
27.09.2018;116030;116030;115990;115990
27.09.2018;115990;116010;115940;115960
27.09.2018;115970;116010;115950;115980
27.09.2018;115980;116020;115980;115990
27.09.2018;115990;115990;115950;115970
27.09.2018;115970;116030;115960;116030
27.09.2018;116030;116030;115990;116000
27.09.2018;116000;116010;115970;116000
27.09.2018;116000;116000;115960;115960
27.09.2018;115960;115990;115950;115990
27.09.2018;115990;116000;115980;115990
27.09.2018;115990;116020;115970;115970
27.09.2018;115980;115990;115900;115940
27.09.2018;115950;115970;115940;115950
27.09.2018;115970;115970;115940;115960
27.09.2018;115930;115930;115910;115910
