27/09/18 - Открытие;27/09/18 - Максимум;27/09/18 - Минимум;27/09/18 - Закрытие;02/10/18 -  Открытие;02/10/18 - Максимум;02/10/18 - Минимум;02/10/18 - Закрытие;27/11/18 - Открытие;27/11/18 - Максимум;27/11/18 - Минимум;27/11/18 - Закрытие;04/12/18 - Открытие;04/12/18 - Максимум;04/12/18 - Минимум;04/12/18 - Закрытие
114280;114710;114200;114580;119190;119190;118670;118730;108380;109340;108130;109300;115150;115470;114920;115170
114580;114730;114520;114570;118730;118760;118530;118640;109310;109480;109160;109190;115180;115220;115020;115150
114570;114750;114560;114730;118630;118730;118560;118710;109180;109260;109050;109080;115150;115190;115100;115160
114720;114790;114620;114670;118710;118760;118630;118700;109070;109080;108830;108950;115160;115200;115050;115050
114690;114790;114650;114740;118690;118740;118600;118640;108940;109020;108830;109020;115050;115110;114910;115110
114750;114830;114730;114740;118640;118640;118250;118370;109010;109130;109010;109090;115080;115130;115000;115080
114750;114790;114690;114710;118380;118470;118330;118410;109090;109370;109090;109290;115070;115140;115050;115120
114710;114750;114670;114750;118410;118450;118230;118350;109270;109310;109020;109190;115110;115140;115030;115060
114750;114760;114680;114680;118340;118370;118240;118330;109180;109230;109130;109170;115070;115080;114970;115010
114700;114710;114660;114700;118330;118370;118280;118330;109170;109200;109140;109180;115000;115020;114940;115010
114700;114710;114630;114650;118320;118490;118310;118440;109190;109200;109040;109070;115000;115040;114970;114990
114650;114700;114620;114660;118440;118470;118380;118470;109070;109140;109050;109070;114980;115020;114960;114980
114670;114770;114650;114760;118470;118520;118400;118430;109080;109200;109080;109110;114990;115060;114990;114990
114760;114890;114730;114850;118420;118550;118410;118460;109110;109130;109000;109000;115000;115010;114920;114930
114850;114920;114830;114910;118480;118520;118440;118440;109000;109070;108960;109020;114930;114940;114820;114860
114910;114990;114890;114970;118440;118500;118430;118490;109010;109100;109000;109080;114860;114930;114810;114890
114960;114980;114920;114950;118470;118510;118440;118450;109090;109110;109050;109100;114890;114960;114870;114940
114950;114970;114750;114800;118450;118710;118400;118630;109100;109140;109090;109140;114930;114940;114870;114910
114790;114800;114660;114690;118630;118820;118600;118750;109140;109210;109130;109190;114890;114930;114870;114920
114670;114740;114620;114630;118750;118790;118660;118680;109200;109240;109150;109200;114920;115000;114900;114990
